R,Team,P,W,D,L,GF,GA,GD,Pts
1,Mumbai City FC,20,12,4,4,35,18,17,40
2,ATK Mohun Bagan FC,20,12,4,4,28,15,13,40
3,Northeast United FC,20,8,9,3,31,25,6,33
4,FC Goa,20,7,10,3,31,23,8,31
5,Hyderabad FC,20,6,11,3,27,19,8,29
6,Jamshedpur FC,20,7,6,7,21,22,-1,27
7,Bengaluru FC,20,5,7,8,26,28,-2,22
8,Chennaiyin FC,20,3,11,6,17,23,-6,20
9,East Bengal FC,20,3,8,9,22,33,-11,17
10,Kerala Blasters FC,20,3,8,9,23,36,-13,17
11,Odisha FC,20,2,6,12,25,44,-19,12
