R,Team,P,W,D,L,GF,GA,GD,Pts
1,Chennaiyin FC,14,6,5,3,24,20,4,23
2,FC Goa,14,6,4,4,21,12,9,22
3,ATK Mohun Bagan FC,14,4,7,3,16,13,3,19
4,Kerala Blasters FC,14,5,4,5,9,11,-2,19
5,Odisha FC,14,4,6,4,16,14,2,18
6,FC Pune City,14,4,4,6,12,17,-5,16
7,Mumbai City FC,14,4,4,6,12,21,-9,16
8,Northeast United FC,14,3,6,5,11,13,-2,15
