R,Team,P,W,D,L,GF,GA,GD,Pts
1,FC Goa,18,10,4,4,36,20,16,34
2,Bengaluru FC,18,10,4,4,29,22,7,34
3,Mumbai City FC,18,9,3,6,25,20,5,30
4,Northeast United FC,18,7,8,3,22,18,4,29
5,Jamshedpur FC,18,6,9,3,29,21,8,27
6,ATK Mohun Bagan FC,18,6,6,6,18,22,-4,24
7,FC Pune City,18,6,4,8,24,30,-6,22
8,Odisha FC,18,4,6,8,23,27,-4,18
9,Kerala Blasters FC,18,2,9,7,18,28,-10,15
10,Chennaiyin FC,18,2,3,13,16,32,-16,9
