R,Team,P,W,D,L,GF,GA,GD,Pts
1,Mumbai City FC,12,9,3,0,36,13,23,30
2,Hyderabad FC,12,9,1,2,24,7,17,28
3,Kerala Blasters FC,12,8,1,3,22,15,7,25
4,ATK Mohun Bagan FC,12,7,2,3,17,12,5,23
5,FC Goa,12,6,1,5,20,16,4,19
6,Odisha FC,12,6,1,5,17,19,-2,19
7,Chennaiyin FC,11,4,2,5,21,23,-2,14
8,East Bengal FC,11,4,0,7,13,20,-7,12
9,Bengaluru FC,12,3,1,8,8,17,-9,10
10,Jamshedpur FC,12,1,2,9,9,22,-13,5
11,Northeast United FC,12,1,0,11,10,33,-23,3
