R,Team,P,W,D,L,GF,GA,GD,Pts
1,Bengaluru FC,18,13,1,4,35,16,19,40
2,Chennaiyin FC,18,9,5,4,24,19,5,32
3,FC Goa,18,9,3,6,42,28,14,30
4,FC Pune City,18,9,3,6,30,21,9,30
5,Jamshedpur FC,18,7,5,6,16,18,-2,26
6,Kerala Blasters FC,18,6,7,5,20,22,-2,25
7,Mumbai City FC,18,7,2,9,25,29,-4,23
8,Odisha FC,18,5,4,9,27,37,-10,19
9,ATK Mohun Bagan FC,18,4,4,10,16,30,-14,16
10,Northeast United FC,18,3,2,13,12,27,-15,11
