R,Team,P,W,D,L,GF,GA,GD,Pts
1,Jamshedpur FC,20,13,4,3,42,21,21,43
2,Hyderabad FC,20,11,5,4,43,23,20,38
3,ATK Mohun Bagan FC,20,10,7,3,37,26,11,37
4,Kerala Blasters FC,20,9,7,4,34,24,10,34
5,Mumbai City FC,20,9,4,7,36,31,5,31
6,Bengaluru FC,20,8,5,7,32,27,5,29
7,Odisha FC,20,6,5,9,31,43,-12,23
8,Chennaiyin FC,20,5,5,10,17,35,-18,20
9,FC Goa,20,4,7,9,29,35,-6,19
10,Northeast United FC,20,3,5,12,25,43,-18,14
11,East Bengal FC,20,1,8,11,18,36,-18,11
