R,Team,P,W,D,L,GF,GA,GD,Pts
1,Mumbai City FC,14,6,5,3,16,8,8,23
2,Kerala Blasters FC,14,6,4,4,13,15,-2,22
3,Odisha FC,14,5,6,3,27,17,10,21
4,ATK Mohun Bagan FC,14,4,8,2,16,14,2,20
5,Northeast United FC,14,5,3,6,14,14,0,18
6,FC Pune City,14,4,4,6,13,16,-3,16
7,Chennaiyin FC,14,3,6,5,20,25,-5,15
8,FC Goa,14,4,2,8,15,25,-10,14
